id;uid;name;level;strength;strength_proficiency;dexterity;dexterity_proficiency;constitution;constitution_proficiency;intelligence;intelligence_proficiency;charisma;charisma_proficiency;wisdom;wisdom_proficiency;passive_insight;passive_perception;acrobatics;animal_handling;arcana;athletics;deception;history;insight;intimidation;investigation;medicine;nature;perception;performance;persuasion;religion;sleight_of_hand;stealth;survival
1;18313;compress;81503;46388;true;36162;true;63932;false;76235;false;45431;false;78735;false;64802;7935;true;true;true;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true
2;94538;Wooden Metal toolset;87160;4329;true;62794;true;85930;true;8464;false;40560;true;82265;true;13187;88223;true;false;false;false;true;true;false;true;false;false;true;false;false;false;false;true;true;true
3;13936;hack Market;41259;99176;false;56664;true;50373;false;24922;false;37792;true;30505;false;70791;9121;true;true;false;false;false;true;false;false;true;false;false;false;true;false;false;true;true;false
4;51816;Intelligent;32268;72382;true;74258;false;21224;true;88648;true;47910;true;24798;false;83063;66517;true;false;false;false;false;false;true;true;true;false;false;false;false;false;true;false;true;false
5;98464;microchip Pine;95935;63520;false;82474;false;46624;true;84288;false;90364;false;37592;true;63661;46166;false;false;true;false;true;true;false;false;true;true;true;false;true;false;true;true;false;false
6;30419;Salad payment;12689;92362;false;92563;true;72366;false;77618;false;42117;true;3956;false;75939;66702;true;true;false;true;false;false;true;false;false;true;true;true;true;false;false;false;false;true
7;68821;Wooden intangible web-enabled;60407;89453;true;96329;false;9826;true;85811;true;98201;false;5290;true;50280;21768;true;false;false;false;true;true;true;true;false;false;true;true;false;true;true;false;false;true
8;92754;transmit Brand;71412;64896;false;25239;true;1368;false;28105;true;39067;false;6698;false;84696;54230;true;true;true;true;true;true;true;true;false;false;false;true;false;false;true;true;true;false
9;75781;microchip;28370;78858;true;79676;false;26541;true;12814;true;24519;true;9183;true;3361;55805;true;false;true;false;true;false;true;false;true;true;true;false;false;false;false;true;true;true
10;9828;Granite;89388;46304;false;37187;false;71667;false;55483;false;5999;false;3020;true;21367;30386;true;false;false;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false
